id,cast,crew
785719,4,0
784286,0,1
770650,0,1
747020,4,1
744522,1,1
741808,0,0
738205,0,0
734237,0,1
643268,0,0
622665,0,1
599875,0,1
591216,8,3
579749,0,1
577442,13,6
528017,0,1
468177,6,13
465075,1,3
453898,5,1
427010,2,0
369431,0,1
364870,0,2
288037,0,4
269498,0,1
220648,0,1
211805,0,0
187201,1,2
86008,5,4
65181,6,2
49948,13,62
46956,13,3
338484,11,0
576253,12,2
813501,0,1
755179,0,2
13063,11,16
763108,11,6
734514,6,3
708526,9,2
11779,30,83
243745,6,4
926,29,110
659383,0,1
659376,0,1
522516,8,5
412037,4,7
68820,9,6
39981,8,9
9674,13,7
312070,3,4
680306,2,2
454618,6,1
604999,7,5
37334,14,5
208114,7,8
258919,9,2
52409,10,3
32250,21,14
11366,21,6
668520,3,0
729531,8,5
531268,4,3
73,50,126
367334,7,7
373198,5,7
72490,13,20
61675,27,14
40106,12,8
13466,55,39
2668,30,162
269500,0,1
71434,19,1
317957,7,2
11075,13,13
589846,6,9
527761,4,5
326924,0,2
75571,9,2
20455,44,8
19576,13,3
573618,2,1
113094,4,2
200419,27,5
163448,6,1
55296,6,8
375061,10,6
132382,0,2
25951,14,14
863,44,321
95271,5,0
487540,8,7
459136,3,3
389572,5,2
46286,15,32
670119,7,2
44203,29,13
8649,84,123
497,43,49
551962,5,11
374401,9,6
84952,31,21
123561,2,2
39793,9,7
9825,17,148
655835,0,0
423126,3,7
79954,16,4
222471,8,15
66749,18,3
10386,33,227
9882,62,140
9481,41,242
301233,9,3
117087,7,3
20677,4,3
62182,10,6
127439,8,3
62004,15,4
14,40,140
36901,57,4
393238,0,1
35948,6,5
128416,6,2
101344,8,1
17701,6,17
93174,16,6
467455,22,22
38047,11,11
159190,10,4
53168,11,10
55892,6,9
678927,6,2
15653,14,75
37998,12,2
2067,17,171
462,56,132
125710,4,14
199580,1,9
69848,15,18
823,11,16
622,23,103
608739,22,13
374752,7,10
45474,13,12
30145,23,14
630625,1,0
630861,0,0
387014,0,0
585161,12,2
447448,8,8
441707,0,2
16990,11,9
774995,0,1
582418,0,1
242426,0,1
314416,2,1
36210,24,15
2105,95,115
702103,0,1
307037,14,3
26743,18,2
626058,6,3
408129,14,14
98299,0,3
36753,15,20
36719,38,16
10991,19,19
955,45,220
279924,8,2
821363,3,4
439446,19,10
527765,3,3
322686,10,8
68526,17,9
31347,15,28
15655,11,65
796050,0,1
696105,3,2
459926,12,1
98954,1,0
784753,1,4
475472,12,1
536964,13,6
77194,12,12
11377,18,133
404104,4,5
31053,8,5
28031,24,24
562814,5,7
437943,8,2
390948,5,2
111256,8,1
113614,4,5
155666,11,3
84004,15,8
10208,65,19
8584,25,14
461711,15,10
73138,12,9
10479,14,127
9473,22,197
476910,1,0
465696,0,6
460335,4,5
128862,15,8
69009,25,10
582646,0,0
366572,0,1
475473,3,1
447471,8,8
125501,11,10
586510,4,2
413188,4,5
186047,5,3
20330,19,14
11004,17,9
4247,60,149
762748,0,0
9877,27,88
376768,13,12
36273,22,7
537598,5,2
171106,4,14
41017,8,12
4244,57,32
2024,62,411
203071,4,6
468568,10,0
643803,12,6
552410,1,0
802923,0,0
50124,18,12
36657,64,194
15496,6,11
16198,9,20
765818,0,1
376712,10,1
9383,12,148
239,86,43
60486,8,2
547885,3,6
746544,18,9
573970,5,0
39983,4,6
21174,12,12
447473,7,8
384601,16,4
339731,2,6
586980,4,3
254050,11,9
248904,1,9
44914,12,12
161080,42,31
8374,42,41
5842,16,8
62298,13,8
9532,29,175
7290,12,9
757785,3,3
53986,6,4
146,13,104
798555,0,3
316789,12,4
40255,21,12
39468,9,5
755877,5,2
467416,7,2
136580,6,3
591640,7,6
467260,8,3
375157,11,6
223897,6,20
30923,48,11
209342,21,24
49514,81,21
755076,12,3
14484,31,32
919,9,12
494312,7,2
339218,4,0
448324,24,0
312401,9,5
305663,5,4
259730,3,1
167005,8,3
12524,31,16
367064,6,1
739653,2,3
271917,23,9
13899,15,5
2787,15,156
454882,12,5
9994,18,25
39056,6,13
39880,14,2
57043,1,0
11678,23,93
2655,17,159
25538,26,12
